Time[s],XJ3_ACAN_CMX_V0.96::BCS_2_A::BCS_VehSpd[km/h],XJ3_ACAN_CMX_V0.96::EPS_1::EPS_StrngWhlTorq[Nm]
287.746283,28.9125,
287.749555,,0
287.756434,28.9125,
287.766286,28.9125,
287.769585,,0
287.77642,28.9125,
287.78628,28.9125,
287.789599,,0
287.796447,28.9125,
287.806281,28.9125,
287.809358,,0.1
287.816436,28.9125,
287.82628,28.9125,
287.829899,,0.1
287.836453,28.9125,
287.84629,28.9125,
287.849552,,0.1
287.856424,28.9125,
287.866305,28.9125,
287.86958,,0.2
287.876454,28.9125,
287.886284,28.9125,
287.889359,,0.2
287.896495,28.9125,
287.906307,28.9125,
287.909354,,0.2
287.916461,28.9125,
287.926296,28.96875,
287.92988,,0.2
287.936475,28.96875,
287.946292,28.96875,
287.949554,,0.2
287.956433,28.96875,
287.966306,28.96875,
287.969582,,0.2
287.976434,28.96875,
287.98631,28.96875,
287.989603,,0.2
287.996459,28.96875,
288.006306,28.96875,
288.009355,,0.2
288.016439,28.96875,
288.026291,28.96875,
288.029899,,0.2
288.036454,28.96875,
288.046293,28.96875,
288.049547,,0.3
288.056412,29.025,
288.066282,29.025,
288.069574,,0.3
288.076452,29.025,
288.08628,29.025,
288.089369,,0.3
288.096461,29.025,
288.106291,29.025,
288.109354,,0.3
288.116437,29.025,
288.12629,29.025,
288.129899,,0.4
288.13643,29.025,
288.146293,29.025,
288.149557,,0.4
288.156455,29.025,
288.1663,29.025,
288.169592,,0.4
288.176467,29.025,
288.186302,29.025,
288.18961,,0.4
288.196382,29.025,
288.206298,29.025,
288.209584,,0.5
288.216465,29.025,
288.226302,29.025,
288.229922,,0.5
288.236472,29.025,
288.246305,29.025,
288.249543,,0.5
288.256445,29.025,
288.266285,29.025,
288.269579,,0.5
288.276463,29.025,
288.286318,29.025,
288.289355,,0.5
288.296445,29.025,
288.306301,29.08125,
288.308962,,0.6
288.316445,29.08125,
288.32631,29.08125,
288.329904,,0.6
288.336472,29.08125,
288.346292,29.08125,
288.349546,,0.6
288.356449,29.08125,
288.366288,29.08125,
288.369571,,0.6
288.376464,29.08125,
288.386308,29.08125,
288.389605,,0.6
288.396451,29.08125,
288.406312,29.08125,
288.409596,,0.6
288.416457,29.08125,
288.426297,29.08125,
288.429917,,0.6
288.436451,29.08125,
288.446308,29.08125,
288.449289,,0.6
288.456472,29.08125,
288.466301,29.08125,
288.469573,,0.6
288.47645,29.08125,
288.486312,29.08125,
288.489622,,0.7
288.496426,29.08125,
288.506306,29.08125,
288.509589,,0.6
288.516466,29.08125,
288.526305,29.08125,
288.529673,,0.6
288.536458,29.08125,
288.546307,29.08125,
288.549544,,0.6
288.556445,29.08125,
288.566316,29.08125,
288.569589,,0.6
288.576462,29.08125,
288.586308,29.08125,
288.589603,,0.6
288.596481,29.08125,
288.606296,29.08125,
288.609593,,0.5
288.616439,29.08125,
288.626278,29.08125,
